,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
77,Adelie,Torgersen,0.32,0.440476,0.322034,0.277778,female,2008
239,Gentoo,Biscoe,0.410909,0.154762,0.779661,0.527778,female,2009
238,Gentoo,Biscoe,0.68,0.5,0.949153,0.805556,male,2009
190,Gentoo,Biscoe,0.447273,0.5,0.79661,0.708333,male,2008
85,Adelie,Dream,0.189091,0.559524,0.322034,0.180556,female,2008
71,Adelie,Torgersen,0.050909,0.702381,0.305085,0.25,female,2008
149,Adelie,Dream,0.141818,0.559524,0.389831,0.208333,female,2009
145,Adelie,Dream,0.189091,0.440476,0.338983,0.083333,female,2009
337,Chinstrap,Dream,0.72,0.761905,0.576271,0.347222,male,2009
133,Adelie,Dream,0.170909,0.642857,0.355932,0.222222,female,2009
169,Gentoo,Biscoe,0.36,0.047619,0.644068,0.402778,female,2007
25,Adelie,Biscoe,0.243636,0.488095,0.135593,0.305556,male,2007
100,Adelie,Dream,0.403636,0.642857,0.338983,0.388889,male,2008
35,Adelie,Dream,0.156364,0.464286,0.389831,0.173611,female,2007
157,Gentoo,Biscoe,0.563636,0.166667,0.728814,0.75,male,2007
125,Adelie,Torgersen,0.112727,0.333333,0.237288,0.097222,female,2009
278,Chinstrap,Dream,0.650909,0.761905,0.40678,0.333333,male,2007
106,Adelie,Biscoe,0.276364,0.690476,0.20339,0.236111,male,2009
286,Chinstrap,Dream,0.698182,0.809524,0.440678,0.277778,male,2007
187,Gentoo,Biscoe,0.618182,0.202381,0.813559,0.680556,female,2008
91,Adelie,Dream,0.130909,0.583333,0.508475,0.236111,female,2008
7,Adelie,Torgersen,0.247273,0.559524,0.152542,0.256944,female,2007
21,Adelie,Biscoe,0.207273,0.619048,0.033898,0.194444,female,2007
332,Chinstrap,Dream,0.730909,0.678571,0.423729,0.208333,male,2009
8,Adelie,Torgersen,0.258182,0.77381,0.389831,0.548611,male,2007
112,Adelie,Biscoe,0.490909,0.857143,0.322034,0.527778,male,2009
69,Adelie,Torgersen,0.138182,0.416667,0.305085,0.097222,female,2008
178,Gentoo,Biscoe,0.509091,0.238095,0.728814,0.666667,male,2007
319,Chinstrap,Dream,0.683636,0.714286,0.40678,0.236111,male,2008
136,Adelie,Dream,0.327273,0.52381,0.305085,0.333333,male,2009
259,Gentoo,Biscoe,0.349091,0.190476,0.644068,0.555556,female,2009
142,Adelie,Dream,0.309091,0.488095,0.254237,0.215278,male,2009
